brand,first_reply_pairs,deflect_rate,ack_only_rate,substantive_rate,non_latin_rate,median_reply_chars,thanks_rate,multi_turn_rate,distinct_customers,usable_score
GWRHelp,19237,0.022508707178874043,0.00317097260487602,0.8254925404169049,0.0,99.0,0.13588397359255602,0.5612621510630555,7602,0.8651273429604499
hulu_support,21681,0.05299571052995711,0.0010608366772750335,0.9445136294451363,0.0,110.0,0.0837138508371385,0.3456943867902772,13461,0.8361005490255015
SW_Help,11729,0.03188677636627164,0.04032739363969648,0.7307528348537812,0.0,97.0,0.13172478472163016,0.5055844488021144,4610,0.7806264398332873
AmazonHelp,168814,0.16759273519968723,0.0025768005023280058,0.7309524091603777,0.056286800857748766,104.0,0.04961081426895873,0.49905813498880425,71048,0.7783239739200145
AdobeCare,9858,0.10874416717386894,0.0008115236356258876,0.7919456279164131,0.0011158449989855954,110.0,0.11848245080137959,0.40271860417934674,4643,0.7646084991981089
MicrosoftHelps,11215,0.18787338386090058,0.0,0.7819884083816317,0.0002674988854213107,109.0,0.08987962550156041,0.4606330806954971,4105,0.7622274926831534
British_Airways,29290,0.16715602594742232,0.00023898941618299762,0.7393649709798567,0.0,114.0,0.0895527483782861,0.3423694093547286,14212,0.7621513455922233
AmericanAir,36531,0.19098847554132106,0.007117242889600613,0.6898250800689825,2.7374011113848512e-05,97.0,0.067038953217815,0.39207796118365223,21686,0.7485132199558658
XboxSupport,23235,0.2321928125672477,0.001248117064772972,0.7208091241661286,0.000688616311598881,97.0,0.06554766516031849,0.37602754465246396,13149,0.7343250787191563
SpotifyCares,43092,0.31186763204307066,0.00016244314489928524,0.6676413255360624,0.0010442773600668337,112.0,0.0817785203750116,0.3170658126798478,27793,0.7340674216405211
Tesco,38468,0.28288447540813144,0.000493917021940314,0.6823073723614432,2.599563273370074e-05,124.0,0.08531766663200582,0.28709576791099095,15593,0.7336996547351097
NikeSupport,3408,0.1487676056338028,0.0,0.7409037558685446,0.00029342723004694836,92.0,0.10915492957746478,0.5886150234741784,1487,0.7279721917056997
VirginTrains,27416,0.039283629997081994,0.03574555004377006,0.5165961482346075,0.0,66.0,0.11679311351035891,0.5413627079077911,12626,0.7264495404686302
idea_cares,15591,0.2391123083830415,0.0029504201141684304,0.7470335449939067,0.02591238535052274,116.0,0.042332114681547045,0.42973510358540185,6021,0.7199914689237873
